Original URL,Image URL,Description text
http://www.rottentomatoes.com/m/the_sDEMONSTRATION1930621/ti_wests_five_favorite_films/,http://resizing.flixster.com/RYNnCBmUPl8kWMZitXejPKfXWbgDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/65/11176563_ori.jpg,"Ti West, writer and director known for such horror achievements as The Innkeepers, V/H/S, Cabin Fever 2: Spring Fever and The House of the Devil is back with The Sacrament, another crazy creepfest, opening June 6, which is sure to once again please the horror aficionados.  His five favorite films show such enthusiasm for the craft and we have them right here."
http://www.rottentomatoes.com/m/night_moveDEMONSTRATION30566/peter_sarsgaards_five_favorite_films/,http://resizing.flixster.com/PeZB77LnYkm_rsVXf6JbL1Nq3g8DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/79/11177979_ori.jpg,"Peter Sarsgaard has starred in critically acclaimed films such as An Education, Garden State, and Shattered Glass, as well as playing a pivotal role in season three of AMC's The Killing. He's currently starring in the new film by Kelly Reichardt, Night Moves. Sarsgaard's passion for movies was evident when chatting about his Five Favorite Films, something he found both exciting and overwhelming. He admitted to just recently seeing Sunset Boulevard and was simply taken by it; in the end, it didn't make his final cut, but read on to see what did."
http://www.rottentomatoes.com/m/dr_stranDEMONSTRATION30460/griffin_dunnes_five_favorite_films/,http://resizing.flixster.com/Kui5w8nc5gl1a9wffUSaH-VWWsoDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/94/11189423_ori.jpg,"I wish I could say that my first introduction to Griffin Dunne in the 80's was An American Werewolf in London so I seem like I was a really savvy moviegoer even as a kid, but it wasn't. It was Who's That Girl, where he co-stars alongside Madonna as Loudon Trott, a tax attorney who, thanks to her, who goes from ""uptight squaresville"" to ""knock knock jokes on the back of a bus-ville."" Even though I was young, I could tell that they had to cast someone rock solid against The Material Girl to anchor all that bleach-blonde pizzaz, so I dug into his filmography and was delighted by the likes of After Hours and Johnny Dangerously, just to name a few. In decades following, my fandom increased as I noticed that Dunne delivers the same kind of solidity and confidence regardless of the film genre, year, or role. The same can be said for my latest fix directed by Justin Schwarz called The Discoverers, where Dunne plays a dad who drags his family on a Lewis and Clark re-enactment trip."
http://www.rottentomatoes.com/m/moms_nighDEMONSTRATION0367/patricia_heatons_five_favorite_films/,http://resizing.flixster.com/I2ABOFijTQ8BG2ywLhAWaGIlcRoDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/02/11180296_ori.jpg,"Having just produced and acted in a movie of her own, Moms' Night Out, we thought we'd ask Patricia Heaton what her favorite films are. Getting the list down to just five was a task she described as ""harder than having a c-section,"" so seven will have to do."
http://www.rottentomatoes.com/m/walk_of_shDEMONSTRATION1930273/gillian_jacobs_five_favorite_films/,http://resizing.flixster.com/l5EiQgMl_pqyLdCvQPaQ8pZDD3MDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/87/11178766_ori.jpg,"Until she won the role of Britta Perry on NBC's Community, Gillian Jacobs was mostly known for darker roles in more serious films. Now that the world knows how funny she is, though, the comedy roles are starting to roll in. Her most recent film is Walk of Shame, which stars Elizabeth Banks as a TV news anchor who finds herself stranded in the wrong part of town after a night of partying. RT spoke with Jacobs about the movie, what it's like to party sober, and of course, her Five Favorite Films."
http://www.rottentomatoes.com/m/authors_anoDEMONSTRATION30235/five_favorite_films_with_chris_klein/,http://content7.flixsteDEMONSTRATION/17/63/11176341_pro.jpg,"Chris Klein is probably best known as Chris ""Oz"" Ostreicher, one of four high school pals who famously sought to lose their virginity in 1999's American Pie, but he's amassed quite an eclectic filmography. Currently, Klein stars alongside Kaley Cuoco in Authors Anonymous, a comedy about a group of struggling writers learning to cope with the sudden success of one of its members. We got the chance to speak with Klein about his Five Favorite Films, which proved to be somewhat revealing about his own personality. Read on for his selections. "
http://www.rottentomatoes.com/m/brickDEMONSTRATION/1930180/five_favorite_films_with_rza/,http://resizing.flixster.com/r_KdQBN2gcSGXo957RLXE9UbJi8DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/18/11181876_ori.jpg,"One of the most influential hip-hop producers of all time, Robert Diggs -- better known as RZA of the Wu-Tang Clan -- has always had one foot firmly planted in the world of cinema. This week he stars in Brick Mansions as an inner city crime lord at odds with an acrobatic vigilante and the undercover cop at his side, and he was kind enough to sit down with RT to talk about his Five Favorite Films."
http://www.rottentomatoes.com/m/fading_gigDEMONSTRATION61/five_favorite_films_with_john_turturro/,http://resizing.flixster.com/XmQ9YC3tA0hhskeih0WJ6ZcdgSQDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/57/11175768_ori.jpg,"Between The Big Lebowski, Rounders, Raging Bull and Do the Right Thing, actor John Turturro has made an impressive number of appearances on our Five Favorite Films lists. Now see what the Fading Gigolo writer, star and director picks for his own top five."
http://www.rottentomatoes.com/m/the_grand_budapDEMONSTRATION/1930092/five_favorite_films_with_saoirse_ronan/,http://resizing.flixster.com/5r7CV7Nqnb4OQtDKty4_OVUFuF8DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/85/11178563_ori.jpg,"Saoirse Ronan is all over the multiplex these days -- the Oscar-nominated Irish actress stars in Wes Anderson's The Grand Budapest Hotel and has a cameo in Muppets Most Wanted. In an interview with Rotten Tomatoes, Ronan talked about her love for classic cinema, her appreciation for David Lynch, and her experience on the set of The Grand Budapest Hotel."
http://www.rottentomatoes.com/m/boys_of_abuDEMONSTRATION930058/five_favorite_films_with_sean_astin/,http://resizing.flixster.com/5Q094CnVPuI5UnLH7SG1r9ETS9oDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/68/11176847_ori.jpg,"Those of us who grew up in the 1980s and 1990s remember Sean Astin as the star of some of our childhood favorites, including Encino Man, Rudy, and of course, The Goonies, but the spunky kid who played little Mikey Walsh has grown up and amassed quite a resume, capped off by a role as Samwise Gamgee in Peter Jackson's Lord of the Rings trilogy. We had a chance to speak with Astin via phone about his new film, Boys of Abu Ghraib, and his Five Favorite Films"
